ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23013"
1,TnPH,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23067"
1,TnPH,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23105"
1,TnPH,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22887"
1,TnPH,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.27945"
1,TnPH,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.27957"
1,TnPH,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.25757"
1,TnPH,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.25671"
1,TnPH,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22054"
1,TnPH,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.24864"
1,TnPL,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20829"
1,TnPL,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.16568"
1,TnPL,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2509"
1,TnPL,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.19618"
1,TnPL,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2204"
1,TnPL,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20958"
1,TnPL,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20788"
1,TnPL,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2122"
1,TnPL,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20855"
1,TnPL,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20868"
1,TnPL,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20679"
1,TnPL,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20785"
1,TnPL,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20768"
1,TnPL,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20858"
1,TnPL,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20676"
1,TnPL,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20755"
1,TnPL,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20755"
1,TnPL,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.208"
1,TnPL,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20739"
1,TnPL,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20903"
1,TnPL,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20598"
1,TnPL,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.229"
1,TnPL,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.24446"
1,TnPL,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2211"
1,TnPL,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22228"
1,TnPL,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22994"
1,TnPL,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23552"
