cMVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TagCount,down_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.859" 
1,TagCount,up_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.870" 
1,TagCount,down_flavFrac,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.876" 
1,TagCount,up_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.880" 
1,TagCount,down_backg,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.866" 
1,TagCount,up_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.875" 
1,TagCount,down_jer,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.873" 
1,TagCount,up_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.875" 
1,TagCount,down_jes,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.876" 
1,TagCount,up_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.871" 
1,TagCount,down_scale1,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.876" 
1,TagCount,up_ps,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.877" 
1,TagCount,down_ps,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.873" 
1,TagCount,up,0, 0.000,2.400,100.000,140.000,0.000,1.000,"0.889" 
1,TagCount,down,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.857" 
1,TagCount,central,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.875" 
1,TagCount,up_statistic,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.897" 
1,TagCount,down_statistic,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.853" 
1,TagCount,up_flavFrac,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.872" 
1,TagCount,down_flavFrac,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.879" 
1,TagCount,up_backg,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.887" 
1,TagCount,down_backg,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.864" 
1,TagCount,up_jer,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.877" 
1,TagCount,down_jer,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.875" 
1,TagCount,up_jes,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.876" 
1,TagCount,down_jes,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.878" 
1,TagCount,up_scale1,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.871" 
1,TagCount,down_scale1,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.882" 
1,TagCount,up_ps,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.892" 
1,TagCount,down_ps,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.878" 
1,TagCount,up,0, 0.000,2.400,140.000,200.000,0.000,1.000,"0.901" 
1,TagCount,down,0,0.000,2.400,140.000,200.000,0.000,1.000,"0.850" 
1,TagCount,central,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.751" 
1,TagCount,up_statistic,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.799" 
1,TagCount,down_statistic,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.700" 
1,TagCount,up_flavFrac,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.744" 
1,TagCount,down_flavFrac,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.759" 
1,TagCount,up_backg,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.761" 
1,TagCount,down_backg,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.742" 
1,TagCount,up_jer,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.751" 
1,TagCount,down_jer,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.751" 
1,TagCount,up_jes,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.751" 
1,TagCount,down_jes,0,0.000,2.400,200.000,300.000,0.000,1.000,"0.757" 
