DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPL,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1613"
1,TnPL,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1616"
1,TnPL,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1611"
1,TnPL,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.162"
1,TnPL,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1753"
1,TnPL,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1514"
1,TnPL,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.147"
1,TnPL,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1542"
1,TnPL,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1715"
1,TnPL,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1565"
1,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1548"
1,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0265"
1,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.283"
1,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0878"
1,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.2218"
1,TnPH,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1583"
1,TnPH,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1632"
1,TnPH,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1539"
1,TnPH,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1721"
1,TnPH,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1556"
1,TnPH,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1465"
1,TnPH,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1565"
1,TnPH,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1491"
1,TnPH,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1402"
1,TnPH,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1639"
1,TnPH,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1499"
1,TnPH,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1499"
1,TnPH,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1506"
1,TnPH,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1543"
1,TnPH,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1529"
1,TnPH,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1536"
1,TnPH,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.2542"
1,TnPH,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.2073"
1,TnPH,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1811"
1,TnPH,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.2106"
1,TnPH,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1594"
1,TnPH,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0735"
1,TnPL,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1014"
1,TnPL,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0632"
1,TnPL,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1395"
1,TnPL,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0699"
1,TnPL,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1328"
1,TnPL,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1152"
1,TnPL,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0991"
1,TnPL,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0987"
1,TnPL,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1011"
1,TnPL,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1018"
1,TnPL,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0964"
1,TnPL,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0991"
1,TnPL,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0995"
1,TnPL,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0986"
1,TnPL,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0997"
1,TnPL,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1058"
1,TnPL,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1058"
1,TnPL,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0991"
1,TnPL,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0995"
1,TnPL,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1022"
1,TnPL,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0943"
1,TnPL,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1083"
1,TnPL,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1063"
1,TnPL,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1062"
1,TnPL,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1034"
1,TnPL,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1012"
1,TnPL,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0793"
1,TnPH,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1625"
1,TnPH,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0267"
1,TnPH,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.2983"
1,TnPH,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.0548"
1,TnPH,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.2703"
1,TnPH,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1867"
1,TnPH,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1849"
1,TnPH,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1517"
1,TnPH,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1594"
1,TnPH,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1612"
1,TnPH,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1564"
1,TnPH,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1548"
1,TnPH,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.167"
1,TnPH,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1647"
1,TnPH,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1595"
1,TnPH,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1649"
1,TnPH,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1649"
1,TnPH,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1566"
1,TnPH,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1625"
1,TnPH,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.157"
1,TnPH,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"1.1694"
